id,is_default,alphabet_label,base,bits,alphabet,reference,notes
base2,yes,iso,2,1,01,,
base4,yes,rfc,4,2,0123,,
base8,,iso,8,3,01234567,,
base10,yes,iso,10,3.32,0123456789,,
base16,yes,js,16,4,0123456789abcdef,https://www.ecma-international.org/ecma-262/6.0/#sec-number.prototype.tostring,
base32ghs,,ghs,32,5,0123456789bcdefghjkmnpqrstuvwxyz,,Geohash
base32js,yes,js,32,5,0123456789abcdefghijklmnopqrstuv,https://www.ecma-international.org/ecma-262/6.0/#sec-number.prototype.tostring,
base32pt,,pt,32,5,0123456789BCDFGHJKLMNPQRSTUVWXYZ,,"Brasil, Min. Fazenda"
base32rfc,,rfc,32,5,ABCDEFGHIJKLMNOPQRSTUVWXYZ234567,,RFC
base36,yes,js,36,5.17,0123456789abcdefghijklmnopqrstuvwxyz,https://www.ecma-international.org/ecma-262/6.0/#sec-number.prototype.tostring,conferir padrão maiusculas
base58btc,yes,btc,58,5.86,123456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz,https://en.bitcoin.it/wiki/Base58Check_encoding,Bitcoin
base64rfc1,,rfc1,64,6,ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789-_,,conferir ordem
base64rfc2,,rfc2,64,6,,,
base64rfc3,,rfc3,64,6,,,